Date,ARKW,ARKG,ARKQ,ARKK,TSLA,3557.TW,8046.TW,3443.TW
2018/3/19,46.5993,26.50968,34.109646,40.47403,62.712002,21.043049,30.972729,293.182251
2018/3/20,46.76498,26.46719,34.292717,40.550037,62.110001,21.480143,29.82382,289.89856
2018/3/21,46.887058,26.523844,34.21563,40.540535,63.306,21.480143,30.158918,290.836761
2018/3/22,45.48315,26.004509,33.194271,39.390923,61.82,21.4177,29.392979,287.084045
2018/3/23,44.2798,25.475731,32.211449,38.621346,60.307999,20.980606,29.057877,280.98584
2018/3/26,45.831947,25.834545,33.078644,39.438423,60.835999,21.167933,29.297235,295.527679
2018/3/27,43.756603,24.42762,31.835665,37.424229,55.835999,20.918163,29.728075,296.465851
2018/3/28,42.527092,24.210442,31.016647,36.474133,51.556,20.668394,28.244066,280.516785
2018/3/29,43.495007,24.31431,31.662228,37.120193,53.226002,20.730837,28.244066,252.840363
2018/4/2,42.213177,23.473932,30.689043,35.923077,50.495998,21.230373,28.72278,244.396713
2018/4/3,42.527092,23.964939,31.035919,36.436127,53.506001,21.355261,28.339811,228.916672
2018/4/4,43.181091,24.503159,31.508059,37.310215,57.388,21.230373,26.999414,229.385788
2018/4/5,43.477566,24.219885,31.912746,37.557236,61.144001,21.167933,26.472828,223.756683
2018/4/6,42.431171,23.42672,31.25272,36.521633,59.860001,21.167933,26.089857,226.102127
2018/4/9,42.605572,23.842188,31.418447,36.749657,57.931999,20.730837,25.467531,226.102127
2018/4/10,43.713005,24.597584,32.110279,37.927773,60.939999,20.980606,25.515402,242.051239
2018/4/11,43.625801,24.899744,32.115097,38.089291,60.186001,20.605951,25.706888,264.567627
2018/4/12,44.070522,25.305767,32.375252,38.497833,58.816002,20.668394,25.467531,252.840363
2018/4/13,43.547321,24.993221,32.384888,38.231808,60.068001,20.605951,25.611143,242.989441
2018/4/16,43.634525,24.899744,32.461971,38.212807,58.242001,20.605951,24.988817,252.840363
2018/4/17,45.05587,25.54183,32.987106,39.314915,57.537998,20.668394,24.653719,264.098572
2018/4/18,45.334911,25.62681,33.174999,39.58094,58.669998,20.668394,25.03669,257.53125
2018/4/19,45.012272,25.23967,32.818485,39.172398,60.015999,20.793278,25.08456,267.382202
2018/4/20,44.44548,24.989445,32.529419,38.830364,58.048,22.042124,25.08456,262.691284
2018/4/23,44.009483,24.607027,32.115097,38.193806,56.674,21.979683,24.605848,266.444
2018/4/24,43.181091,24.304869,31.52733,37.652248,56.692001,21.542585,24.079264,264.098572
2018/4/25,42.439892,24.040478,31.122637,36.920673,56.138,21.355261,24.127134,256.593079
2018/4/26,43.320606,24.550373,31.411703,37.566738,57.096001,21.605028,24.127134,250.964005
2018/4/27,43.372929,24.484274,31.541782,37.414726,58.816002,21.542585,24.175005,247.680344
2018/4/30,43.355488,23.993267,31.402069,37.139194,58.779999,21.355261,23.983521,242.52034
2018/5/1,43.634525,24.182116,31.662228,37.595242,59.984001,21.792355,24.270748,250.025803
2018/5/2,43.800205,24.342638,31.373163,37.576237,60.23,21.729912,24.605848,245.80397
2018/5/3,43.852524,24.11602,31.267172,37.329216,56.889999,21.854797,24.510107,251.902161
2018/5/4,44.480354,24.333197,31.941658,37.918274,58.818001,21.91724,25.180302,255.185806
2018/5/7,45.587788,24.946955,32.376217,38.906376,60.554001,21.854797,24.893074,258.469452
2018/5/8,46.076103,24.786434,32.63541,39.229404,60.394001,22.728989,24.653719,249.556702
2018/5/9,46.738819,25.485176,33.165359,40.227001,61.369999,22.354334,24.270748,241.113068
2018/5/10,47.096333,25.400192,33.517059,40.540535,61.004002,21.979683,24.031393,237.360336
2018/5/11,46.83474,26.202801,33.319534,40.737202,60.212002,22.167007,24.175005,239.236694
2018/5/14,46.459782,26.542728,33.118149,40.806564,58.394001,21.979683,24.270748,252.633957
2018/5/15,45.901707,26.504959,32.924477,40.597542,56.835999,22.167007,25.611143,266.509674
2018/5/16,46.416183,26.656038,33.203903,40.920574,57.296001,22.479219,25.323919,285.170135
2018/5/17,46.119705,26.882656,33.271355,40.977581,56.908001,22.291895,25.611143,299.524353
