Date,TSLA,3557.TW,8046.TW,3443.TW
2016/3/14,43.029999,6.849056,31.233805,79.017952
2016/3/15,43.667999,6.95978,30.249357,75.684242
2016/3/16,44.386002,6.928144,30.786324,77.756546
2016/3/17,45.276001,7.02305,30.696831,76.405045
2016/3/18,46.548,7.007233,30.383596,78.02684
2016/3/21,47.664001,6.801603,30.696831,77.486244
2016/3/22,46.848,6.912327,30.249357,76.585243
2016/3/23,44.515999,6.706697,30.249357,79.288254
2016/3/24,45.549999,6.785785,30.56259,78.116943
2016/3/28,46.051998,6.706697,30.2941,76.675339
2016/3/29,46.026001,6.516885,30.338854,74.783234
2016/3/30,45.377998,6.327072,30.159859,74.152542
2016/3/31,45.953999,6.469432,30.652084,76.765442
2016/4/1,47.518002,6.469432,30.383596,75.774345
2016/4/4,49.397999,6.311255,30.249357,75.954536
2016/4/5,51.094002,6.295437,29.846624,76.49514
2016/4/6,53.084,6.295437,28.727936,74.332741
2016/4/7,51.439999,6.358707,28.862183,74.422836
2016/4/8,50.014,6.263802,28.862183,74.693138
2016/4/11,49.984001,6.200531,28.011976,73.161423
2016/4/12,49.563999,6.406161,28.548948,74.062431
2016/4/13,50.905998,6.247984,28.638445,73.341637
2016/4/14,50.372002,6.516885,28.325207,73.161423
2016/4/15,50.902,6.627609,28.325207,72.71093
2016/4/18,50.776001,6.453614,28.235716,72.350533
2016/4/19,49.473999,6.48525,27.922482,70.728722
2016/4/20,49.993999,6.928144,27.967228,70.45842
2016/4/21,49.658001,6.675062,27.519753,69.467323
2016/4/22,50.75,6.327072,27.430258,69.016815
2016/4/25,50.363998,6.247984,28.056726,69.197021
2016/4/26,50.748001,6.200531,28.101469,69.016815
2016/4/27,50.293999,6.168895,27.430258,68.205902
2016/4/28,49.542,6.168895,27.20652,68.025711
2016/4/29,48.152,6.073989,28.190968,66.223717
2016/5/2,48.360001,6.058171,28.146219,66.67421
2016/5/3,46.464001,5.979084,28.369957,65.502899
2016/5/4,44.512001,6.026536,28.011976,61.178089
2016/5/5,42.306,5.852542,27.117023,62.079094
2016/5/6,42.986,6.010719,26.893286,63.610798
2016/5/9,41.784,5.773454,25.953588,64.331604
2016/5/10,41.737999,5.899995,25.058638,63.430595
2016/5/11,41.792,5.536188,25.506111,62.169193
2016/5/12,41.456001,5.283105,25.506111,64.061302
2016/5/13,41.521999,5.283105,25.237629,64.241508
2016/5/16,41.658001,5.298923,25.237629,63.971199
2016/5/17,40.931999,5.219835,25.282375,64.241508
2016/5/18,42.234001,5.093294,25.148132,63.791004
2016/5/19,43.042,5.04584,26.132578,65.142509
2016/5/20,44.056,4.998388,26.401064,64.8722
2016/5/23,43.243999,4.84021,27.251268,66.944511
2016/5/24,43.582001,4.808575,26.848541,66.223717
2016/5/25,43.916,4.856028,26.893286,66.04351
2016/5/26,45.023998,4.950934,26.848541,66.584106
2016/5/27,44.608002,4.856028,26.938034,66.854401
2016/5/31,44.646,4.824393,26.848541,67.395012
2016/6/1,43.911999,4.808575,26.401064,65.953407
2016/6/2,43.792,4.808575,26.311567,66.04351
2016/6/3,43.798,null,null,null
2016/6/6,44.136002,4.697852,26.266821,66.584106
2016/6/7,46.467999,4.666216,26.624804,68.115814
2016/6/8,47.104,4.682034,26.44581,68.205902
2016/6/9,45.872002,4.602945,25.506111,67.830643
2016/6/10,43.757999,4.745304,25.908842,67.549179
2016/6/13,43.574001,4.745304,26.132578,67.080093
2016/6/14,42.992001,4.729486,25.953588,66.329544
2016/6/15,43.540001,4.729486,26.177326,66.986275
2016/6/16,43.585999,4.745304,26.759045,67.549179
2016/6/17,43.094002,5.219835,26.44581,68.862648
2016/6/20,43.939999,5.219835,26.44581,68.768829
2016/6/21,43.922001,5.409647,26.266821,68.299736
2016/6/22,39.332001,5.140746,25.59561,66.42337
2016/6/23,39.279999,5.140746,25.506111,67.736816
2016/6/24,38.630001,5.124929,26.08783,67.549179
2016/6/27,39.709999,5.219835,26.132578,68.956467
2016/6/28,40.358002,5.441282,26.043085,68.675003
2016/6/29,42.037998,5.583642,26.311567,70.26992
2016/6/30,42.456001,5.393829,26.222075,69.425552
2016/7/1,43.299999,5.441282,25.908842,71.489555
2016/7/5,42.796001,5.298923,25.862494,68.956467
2016/7/6,42.888,5.820907,25.90884,69.519363
2016/7/7,43.188,5.820907,25.90884,69.519363
2016/7/8,43.355999,6.327072,26.23328,69.144089
2016/7/11,44.956001,6.105625,26.047886,69.237915
2016/7/12,44.93,6.168895,26.604071,68.581184
2016/7/13,44.506001,6.232166,26.418673,68.393555
2016/7/14,44.306,6.247984,26.511374,68.487366
2016/7/15,44.080002,6.105625,26.55772,68.581184
2016/7/18,45.25,6.13726,26.604071,68.768829
2016/7/19,45.051998,5.884178,26.835814,69.331734
2016/7/20,45.672001,6.13726,27.067554,70.926643
2016/7/21,44.099998,6.13726,26.928509,72.615372
2016/7/22,44.453999,5.93163,26.55772,71.86483
2016/7/25,46.001999,5.93163,26.511374,71.583374
2016/7/26,45.902,5.947448,26.511374,72.990654
2016/7/27,45.698002,6.042354,26.279631,73.084465
2016/7/28,46.122002,6.042354,26.094234,71.958649
2016/7/29,46.958,5.93163,26.140587,72.521553
2016/8/1,46.001999,6.042354,26.835814,73.459747
2016/8/2,45.439999,6.232166,26.279631,73.084465
2016/8/3,45.158001,6.643426,26.047886,74.210281
2016/8/4,46.122002,6.516885,26.186934,72.521553
2016/8/5,46.006001,6.421978,25.955191,72.615372
2016/8/8,45.231998,6.34289,25.90884,72.896828
2016/8/9,45.816002,6.27962,25.862494,74.116463
2016/8/10,45.130001,6.327072,25.491705,74.585556
2016/8/11,44.981998,6.327072,25.352661,74.773193
2016/8/12,45.122002,6.27962,24.889174,74.397926
2016/8/15,45.118,6.469432,24.472034,74.116463
2016/8/16,44.722,6.501067,24.564734,72.896828
2016/8/17,44.647999,6.390343,24.564734,72.521553
2016/8/18,44.702,6.501067,24.750128,71.208099
2016/8/19,45,6.406161,24.332991,69.894646
2016/8/22,44.585999,6.247984,24.472034,70.176102
